portfolio,portfolio_label,person_id,person_name,start,end
interior,Interior,Q2820931,Abdallah Kallel,1991-02-17,1991-02-20
interior,Interior,Q3417419,Rafik Belhaj Kacem,1991-02-20,1995-01-24
interior,Interior,Q3318622,Mohamed Jegham,1995-01-24,1995-01-25
interior,Interior,TN-mohamed-ali-ganzoui,Mohamed Ali Ganzoui,1995-01-25,1997-01-22
interior,Interior,Q16664915,Mohamed Ben Rejeb,1997-01-22,1997-10-09
interior,Interior,Q2836180,Ali Chaouch,1997-10-09,1999-11-17
interior,Interior,Q2820931,Abdallah Kallel,1999-11-17,2001-01-23
interior,Interior,TN-mongi-chouchane,Mongi Chouchane,2001-01-23,2002-04-27
interior,Interior,Q2912277,Hédi M'henni,2002-04-27,2004-11-11
interior,Interior,Q3417419,Rafik Belhaj Kacem,2004-11-11,2010-10-12
interior,Interior,TN-mohsen-laroui,Mohsen Laroui,2010-10-12,2011-01-01
interior,Interior,Q2827554,Ahmed Friaâ,2011-01-12,2011-01-27
interior,Interior,Q3066858,Farhat Rajhi,2011-01-27,2011-03-28
interior,Interior,Q3125311,Habib Essid,2011-03-28,2011-12-24
interior,Interior,Q281184,Ali Larayedh,2011-12-24,2013-03-13
interior,Interior,Q7480522,Lotfi Ben Jeddou,2013-03-13,2015-02-06
interior,Interior,Q18880483,Mohamed Najem Gharsalli,2015-02-06,2016-01-12
interior,Interior,Q21996842,Hédi Majdoub,2016-01-12,2017-09-06
interior,Interior,Q50099224,Lotfi Brahem,2017-09-06,2018-06-06
interior,Interior,Q16639035,Ghazi Jeribi,2018-06-06,2018-07-30
interior,Interior,Q56309568,Hichem Fourati,2018-07-30,2020-02-27
interior,Interior,Q88485687,Hichem Mechichi,2020-02-27,2020-09-02
interior,Interior,Q98828355,Taoufik Charfeddine,2020-09-02,2021-01-05
interior,Interior,Q88485687,Hichem Mechichi,2021-01-05,2021-07-25
interior,Interior,Q108750786,Khaled Yahyaoui,2021-07-26,2021-07-29
interior,Interior,Q107707866,Ridha Gharsalloui,2021-07-29,2021-10-11
interior,Interior,Q98828355,Taoufik Charfeddine,2021-10-11,2023-03-17
interior,Interior,Q130344076,Khaled Nouri,2024-05-25,2026-08-26
justice,Justice,Q2827624,Ahmed Mestiri,1956-04-15,1958-12-30
justice,Justice,Q3144591,Hédi Khefacha,1958-12-30,1966-09-05
justice,Justice,Q563204,Mongi Slim,1966-09-05,1969-09-06
justice,Justice,Q12239765,Mohamed Snoussi,1969-09-06,1970-06-12
justice,Justice,Q586623,الحبيب بورقيبة الابن,1970-06-12,1970-11-06
justice,Justice,Q3318545,Mohamed Fitouri,1970-11-06,1971-10-29
justice,Justice,Q12240251,Mohamed Bellalouna,1971-10-29,1973-06-05
justice,Justice,Q12220165,Slaheddine Baly,1973-06-05,1980-04-23
justice,Justice,Q12246948,Mohamed Chaker,1980-04-23,1984-10-29
justice,Justice,Q16027761,Ridha Ben Ali,1984-10-29,1986-02-12
justice,Justice,Q12240636,Mohamed Salah Ayari,1986-02-12,1988-04-12
justice,Justice,Q12220165,Slaheddine Baly,1988-04-12,1988-07-27
justice,Justice,Q1381809,Hamed Karoui,1988-07-27,1989-09-27
justice,Justice,Q15055101,Mustapha Bouaziz,1989-09-27,1990-03-03
justice,Justice,Q2972023,Chédli Neffati,1990-03-03,1991-02-20
justice,Justice,Q2821241,Abderrahim Zouari,1991-02-20,1992-06-09
justice,Justice,Q3461169,Sadok Chaâbane,1992-06-09,1997-01-22
justice,Justice,Q2820931,Abdallah Kallel,1997-01-22,1999-11-17
justice,Justice,Q2929705,Béchir Tekkari,1999-11-17,2010-01-14
justice,Justice,Q3220052,Lazhar Bououni,2010-01-14,2011-01-17
justice,Justice,Q517946,Lazhar Karoui Chebbi,2011-01-17,2011-12-24
justice,Justice,Q668526,Noureddine Bhiri,2011-12-24,2013-03-13
justice,Justice,Q12352837,Nadhir Ben Ammou,2013-03-13,2014-01-29
justice,Justice,Q16027763,Hafedh Ben Salah,2014-01-29,2015-02-06
justice,Justice,Q3318781,Mohamed Salah Ben Aïssa,2015-02-06,2015-10-20
justice,Justice,Q19248970,Farhat Horchani,2015-10-20,2016-01-12
justice,Justice,Q24690887,Omar Mansour,2016-01-12,2016-08-27
justice,Justice,Q16639035,Ghazi Jeribi,2016-08-27,2018-11-14
justice,Justice,Q18398343,Mohamed Karim El Jamoussi,2018-11-14,2020-02-27
justice,Justice,Q85822499,Thouraya Jeribi Khémiri,2020-02-27,2020-09-02
justice,Justice,Q99574115,Mohamed Bousseta,2020-09-02,2021-02-15
justice,Justice,Q104828106,Hasna Ben Slimane,2021-02-15,2021-07-26
justice,Justice,Q98828570,Leïla Jaffel,2021-10-11,2026-08-26
